atoms,bonds,dbonds,HBA1,HBD,logP,MR,MW,sbonds,Target
36,38,0,36,16,1.4192,23.546,134.82804,38,No
15,15,1,15,3,0.9,8.896,8.06352,14,No
23,24,2,23,7,1.125,11.12,10.0794,22,No
21,21,0,21,6,1.2375,12.232,11.08734,21,Yes
22,23,0,22,8,1.125,11.12,10.0794,23,Yes
26,28,2,26,8,1.0125,10.008,9.07146,26,Yes
17,17,0,16,5,1.5895,14.749,43.51652,17,No
22,22,2,22,5,0.9,8.896,8.06352,20,Yes
34,34,1,34,8,2.025,20.016,18.14292,33,No
18,18,1,18,7,0.9,8.896,8.06352,17,No
20,19,1,20,6,1.35,13.344,12.09528,18,No
40,40,0,40,10,2.7,26.688,24.19056,40,No
25,24,2,25,4,0.9692,19.098,219.29528,22,No
17,17,0,17,6,1.0125,10.008,9.07146,17,Yes
24,25,1,24,10,1.125,11.12,10.0794,24,No
13,13,0,10,3,2.406,20.895,109.38282,13,Yes
40,41,0,38,14,3.629,33.946,91.0648,41,No
26,26,2,26,6,1.125,11.12,10.0794,24,No
20,19,0,19,5,2.152,20.309,48.55622,19,No
15,16,2,15,4,0.45,4.448,4.03176,14,No
20,20,2,20,6,0.9,8.896,8.06352,18,No
19,19,0,19,6,1.125,11.12,10.0794,19,No
4,3,1,4,0,0,0,40.078,1,No
25,26,1,25,10,1.125,11.12,10.0794,25,No
17,17,0,16,5,1.5895,14.749,43.51652,17,Yes
36,35,2,36,8,2.25,22.24,20.1588,33,No
28,29,0,28,11,1.575,15.568,14.11116,29,No
18,18,1,18,5,0.7875,7.784,7.05558,17,No
22,22,0,22,6,1.2375,12.232,11.08734,22,No
19,18,1,19,4,1.125,11.12,33.06917,17,No
25,24,2,24,6,2.3081,23.383,93.00722,22,No
16,16,0,16,6,0.9,8.896,8.06352,16,No
67,70,1,67,23,4.5,44.48,40.3176,69,No
24,24,2,23,7,1.8145,16.973,45.5324,22,No
14,14,0,13,5,1.3645,12.525,41.50064,14,No
16,16,4,16,6,0.675,6.672,6.04764,12,No
18,18,1,18,5,0.7875,7.784,7.05558,17,No
40,41,1,40,12,2.25,22.24,20.1588,40,Yes
41,40,2,41,10,2.3192,32.442,142.89156,38,No
25,26,1,23,7,2.1665,19.49,77.96158,25,Yes
17,17,0,16,5,1.5895,14.749,43.51652,17,Yes
25,26,1,25,10,1.125,11.12,10.0794,25,Yes
84,89,2,84,23,4.5,44.48,40.3176,87,Yes
34,35,2,34,13,1.6875,16.68,15.1191,33,Yes
19,19,0,19,6,1.125,11.12,10.0794,19,No
13,13,0,13,6,0.675,6.672,6.04764,13,No
28,29,1,28,12,1.35,13.344,12.09528,28,No
27,28,0,27,10,1.35,13.344,12.09528,28,Yes
11,10,0,8,3,2.9432,29.267,200.3007,10,Yes
25,25,3,24,6,1.7456,17.823,110.95729,22,No
39,41,5,39,10,1.125,11.12,56.05894,36,No
22,24,0,18,4,3.208,27.86,145.84376,24,Yes
8,7,0,6,2,2.1412,22.302,163.83976,7,Yes
39,41,5,39,10,1.125,11.12,56.05894,36,No
68,67,2,68,20,4.725,46.704,42.33348,65,Yes
43,44,2,43,14,2.25,22.24,20.1588,42,No
19,19,1,19,6,1.2375,12.232,11.08734,18,No
33,34,0,33,12,1.8,17.792,16.12704,34,No
66,66,2,66,20,4.275,42.256,38.30172,64,Yes
16,16,0,14,4,2.054,18.378,76.95364,16,Yes
45,48,5,45,12,1.35,13.344,58.07482,43,No
35,36,2,35,11,1.6875,16.68,15.1191,34,No
75,80,6,73,20,4.079,38.394,232.42356,74,No
31,33,1,31,12,1.35,13.344,12.09528,32,No
6,5,1,4,1,1.604,13.93,72.92188,4,No
8,7,0,3,1,3.56,30.377,178.27294,7,Yes
